gisjoin,fips,adi_natrank,adi_staternk
G37002500421014,370250421014,94,10
G37002500421021,370250421021,75,7
G37002500421022,370250421022,68,6
G37002500422001,370250422001,40,3
G37002500422002,370250422002,43,3
G37002500422003,370250422003,44,3
G37002500422004,370250422004,46,3
G37002500422005,370250422005,56,5
G37002500422006,370250422006,52,4
G37002500423001,370250423001,59,5
G37002500423002,370250423002,81,8
G37002500423003,370250423003,66,6
G37002500423004,370250423004,75,7
G37002500424011,370250424011,31,2
G37002500424012,370250424012,48,4
G37002500424021,370250424021,97,10
G37002500424022,370250424022,71,7
G37002500424023,370250424023,60,5
G37002500425011,370250425011,47,4
G37002500425012,370250425012,33,2
G37002500425021,370250425021,64,6
G37002500425031,370250425031,35,2
G37002500425041,370250425041,17,1
G37002500426011,370250426011,16,1
G37002500426012,370250426012,29,2
G37002500426021,370250426021,53,4
G37002500426022,370250426022,51,4
G37002500426023,370250426023,98,10
G37002500426031,370250426031,31,2
G37002500426032,370250426032,33,2
G37002500426033,370250426033,33,2
G37002500426041,370250426041,41,3
G37002700301001,370270301001,88,9
G37002700301002,370270301002,89,9
G37002700301003,370270301003,95,10
G37002700301004,370270301004,91,10
G37002700301005,370270301005,71,7
G37002700301006,370270301006,71,7
G37002700302001,370270302001,95,10
G37002700302002,370270302002,93,10
G37002700302003,370270302003,94,10
G37002700302004,370270302004,71,7
G37002700303001,370270303001,67,6
G37002700303002,370270303002,92,10
G37002700303003,370270303003,82,8
G37002700303004,370270303004,81,8
G37002700304001,370270304001,92,10
G37002700304002,370270304002,87,9
G37002700304003,370270304003,84,9
G37002700304004,370270304004,79,8
G37002700305001,370270305001,56,5
G37002700305002,370270305002,63,6
G37002700305003,370270305003,53,4
G37002700306001,370270306001,58,5
G37002700306002,370270306002,54,4
G37002700306003,370270306003,64,6
G37002700307001,370270307001,54,4
G37002700307002,370270307002,64,6
G37002700307003,370270307003,87,9
G37002700307004,370270307004,75,7
G37002700307005,370270307005,91,10
G37002700308001,370270308001,72,7
G37002700308002,370270308002,72,7
G37002700308003,370270308003,63,6
G37002700308004,370270308004,80,8
G37002700308005,370270308005,73,7
G37002700309001,370270309001,86,9
G37002700309002,370270309002,67,6
G37002700309003,370270309003,85,9
G37002700309004,370270309004,72,7
G37002700310001,370270310001,59,5
G37002700310002,370270310002,60,5
G37002700310003,370270310003,63,6
G37002700311001,370270311001,85,9
G37002700311002,370270311002,74,7
G37002700311003,370270311003,83,9
G37002700311004,370270311004,76,7
G37002700312011,370270312011,65,6
G37002700312012,370270312012,59,5
G37002700312013,370270312013,82,8
G37002700312014,370270312014,85,9
G37002700312021,370270312021,73,7
G37002700312022,370270312022,76,7
G37002700313001,370270313001,29,2
G37002700313002,370270313002,36,2
G37002700313003,370270313003,89,9
G37002700313004,370270313004,62,6
G37002700314011,370270314011,80,8
G37002700314012,370270314012,68,6
G37002700314021,370270314021,73,7
G37002700314022,370270314022,84,9
G37002700314023,370270314023,68,6
G37002700314031,370270314031,75,7
G37002700314032,370270314032,61,5
G37002909501011,370299501011,30,2
G37002909501012,370299501012,46,3
G37002909501021,370299501021,35,2
G37002909501022,370299501022,33,2
G37002909501023,370299501023,66,6
G37003109701011,370319701011,43,3
G37003109701021,370319701021,62,6
G37003109701022,370319701022,65,6
